request_id,http_status,time_total_seconds,instance_id
1,200,0.069831,resource-service@gora.local:8082
2,200,0.065775,resource-service@gora.local:8082
3,200,0.059441,resource-service@gora.local:8082
4,200,0.050763,resource-service@gora.local:8082
5,200,0.070640,resource-service@gora.local:8082
6,200,0.064848,resource-service@gora.local:8082
7,200,0.057785,resource-service@gora.local:8082
8,200,0.061115,resource-service@gora.local:8082
9,200,0.053380,resource-service@gora.local:8082
10,200,0.051238,resource-service@gora.local:8082
11,200,0.048012,resource-service@gora.local:8082
12,200,0.045105,resource-service@gora.local:8082
13,200,0.058737,resource-service@gora.local:8082
14,200,0.037603,resource-service@gora.local:8082
15,200,0.032574,resource-service@gora.local:8082
16,200,0.051393,resource-service@gora.local:8082
17,200,0.048779,resource-service@gora.local:8082
18,200,0.074753,resource-service@gora.local:8082
19,200,0.072166,resource-service@gora.local:8082
20,200,0.067234,resource-service@gora.local:8082
21,200,0.058078,resource-service@gora.local:8082
22,200,0.042371,resource-service@gora.local:8082
23,200,0.035605,resource-service@gora.local:8082
24,200,0.063433,resource-service@gora.local:8082
25,200,0.062509,resource-service@gora.local:8082
26,200,0.052080,resource-service@gora.local:8082
27,200,0.034383,resource-service@gora.local:8082
28,200,0.054714,resource-service@gora.local:8082
29,200,0.037617,resource-service@gora.local:8082
30,200,0.025581,resource-service@gora.local:8082
31,200,0.029076,resource-service@gora.local:8082
32,200,0.037360,resource-service@gora.local:8082
33,200,0.053411,resource-service@gora.local:8082
34,200,0.055082,resource-service@gora.local:8082
35,200,0.035320,resource-service@gora.local:8082
36,200,0.038313,resource-service@gora.local:8082
37,200,0.043604,resource-service@gora.local:8082
38,200,0.026368,resource-service@gora.local:8082
39,200,0.071477,resource-service@gora.local:8082
40,200,0.049941,resource-service@gora.local:8082
41,200,0.048878,resource-service@gora.local:8082
42,200,0.066031,resource-service@gora.local:8082
43,200,0.044162,resource-service@gora.local:8082
44,200,0.033022,resource-service@gora.local:8082
45,200,0.049651,resource-service@gora.local:8082
46,200,0.024577,resource-service@gora.local:8082
47,200,0.022323,resource-service@gora.local:8082
48,200,0.047565,resource-service@gora.local:8082
49,200,0.031903,resource-service@gora.local:8082
50,200,0.023782,resource-service@gora.local:8082
51,200,0.022537,resource-service@gora.local:8082
52,200,0.032134,resource-service@gora.local:8082
53,200,0.027164,resource-service@gora.local:8082
54,200,0.025391,resource-service@gora.local:8082
55,200,0.029630,resource-service@gora.local:8082
56,200,0.018267,resource-service@gora.local:8082
57,200,0.049167,resource-service@gora.local:8082
58,200,0.041157,resource-service@gora.local:8082
59,200,0.037830,resource-service@gora.local:8082
60,200,0.078236,resource-service@gora.local:8082
61,200,0.116548,resource-service@gora.local:8082
62,200,0.111016,resource-service@gora.local:8082
63,200,0.081894,resource-service@gora.local:8082
64,200,0.095267,resource-service@gora.local:8082
65,200,0.091283,resource-service@gora.local:8082
66,200,0.104343,resource-service@gora.local:8082
67,200,0.098959,resource-service@gora.local:8082
68,200,0.088135,resource-service@gora.local:8082
69,200,0.086858,resource-service@gora.local:8082
70,200,0.072234,resource-service@gora.local:8082
71,200,0.068375,resource-service@gora.local:8082
72,200,0.123973,resource-service@gora.local:8082
73,200,0.095359,resource-service@gora.local:8082
74,200,0.036008,resource-service@gora.local:8082
75,200,0.040246,resource-service@gora.local:8082
76,200,0.035917,resource-service@gora.local:8082
77,200,0.106693,resource-service@gora.local:8082
78,200,0.103831,resource-service@gora.local:8082
79,200,0.135081,resource-service@gora.local:8082
80,200,0.030718,resource-service@gora.local:8082
81,200,0.083771,resource-service@gora.local:8082
82,200,0.082614,resource-service@gora.local:8082
83,200,0.088014,resource-service@gora.local:8082
84,200,0.055101,resource-service@gora.local:8082
85,200,0.061804,resource-service@gora.local:8082
86,200,0.034581,resource-service@gora.local:8082
87,200,0.034218,resource-service@gora.local:8082
88,200,0.033848,resource-service@gora.local:8082
89,200,0.043546,resource-service@gora.local:8082
90,200,0.041962,resource-service@gora.local:8082
91,200,0.046892,resource-service@gora.local:8082
92,200,0.031738,resource-service@gora.local:8082
93,200,0.041365,resource-service@gora.local:8082
94,200,0.054910,resource-service@gora.local:8082
95,200,0.050300,resource-service@gora.local:8082
96,200,0.043999,resource-service@gora.local:8082
97,200,0.037220,resource-service@gora.local:8082
98,200,0.036081,resource-service@gora.local:8082
99,200,0.037141,resource-service@gora.local:8082
100,200,0.037944,resource-service@gora.local:8082
