request_id,http_status,time_total_seconds,instance_id
1,200,0.748508,resource-service@gora.local:8092
2,200,0.148185,resource-service@gora.local:8082
3,200,0.772434,resource-service@gora.local:8092
4,200,0.146732,resource-service@gora.local:8082
5,200,0.717861,resource-service@gora.local:8092
6,200,0.124451,resource-service@gora.local:8082
7,200,0.714511,resource-service@gora.local:8092
8,200,0.130384,resource-service@gora.local:8082
9,200,0.683122,resource-service@gora.local:8092
10,200,0.702282,resource-service@gora.local:8092
11,200,0.225389,resource-service@gora.local:8082
12,200,0.647527,resource-service@gora.local:8092
13,200,0.109565,resource-service@gora.local:8082
14,200,0.125822,resource-service@gora.local:8082
15,200,0.663720,resource-service@gora.local:8092
16,200,0.600249,resource-service@gora.local:8092
17,200,0.129513,resource-service@gora.local:8082
18,200,0.123034,resource-service@gora.local:8082
19,200,0.574397,resource-service@gora.local:8092
20,200,0.096884,resource-service@gora.local:8082
21,200,0.497961,resource-service@gora.local:8092
22,200,0.109002,resource-service@gora.local:8082
23,200,0.085483,resource-service@gora.local:8082
24,200,0.507893,resource-service@gora.local:8092
25,200,0.063891,resource-service@gora.local:8082
26,200,0.166767,resource-service@gora.local:8082
27,200,0.512556,resource-service@gora.local:8092
28,200,0.567159,resource-service@gora.local:8092
29,200,0.431143,resource-service@gora.local:8092
30,200,0.149612,resource-service@gora.local:8082
31,200,0.130978,resource-service@gora.local:8082
32,200,0.407177,resource-service@gora.local:8092
33,200,0.352644,resource-service@gora.local:8092
34,200,0.078053,resource-service@gora.local:8082
35,200,0.376516,resource-service@gora.local:8092
36,200,0.338267,resource-service@gora.local:8092
37,200,0.062582,resource-service@gora.local:8082
38,200,0.325613,resource-service@gora.local:8092
39,200,0.071691,resource-service@gora.local:8082
40,200,0.042640,resource-service@gora.local:8082
41,200,0.322798,resource-service@gora.local:8092
42,200,0.252593,resource-service@gora.local:8092
43,200,0.020681,resource-service@gora.local:8082
44,200,0.168772,resource-service@gora.local:8092
45,200,0.207474,resource-service@gora.local:8092
46,200,0.065859,resource-service@gora.local:8082
47,200,0.174822,resource-service@gora.local:8092
48,200,0.185275,resource-service@gora.local:8092
49,200,0.087886,resource-service@gora.local:8082
50,200,0.180852,resource-service@gora.local:8092
51,200,0.207622,resource-service@gora.local:8092
52,200,0.183414,resource-service@gora.local:8092
53,200,0.160030,resource-service@gora.local:8092
54,200,0.146330,resource-service@gora.local:8082
55,200,0.136675,resource-service@gora.local:8082
56,200,0.190350,resource-service@gora.local:8092
57,200,0.131353,resource-service@gora.local:8082
58,200,0.093493,resource-service@gora.local:8082
59,200,0.197044,resource-service@gora.local:8092
60,200,0.136532,resource-service@gora.local:8082
61,200,0.106594,resource-service@gora.local:8082
62,200,0.193392,resource-service@gora.local:8092
63,200,0.146027,resource-service@gora.local:8082
64,200,0.185613,resource-service@gora.local:8092
65,200,0.152423,resource-service@gora.local:8082
66,200,0.133371,resource-service@gora.local:8082
67,200,0.154624,resource-service@gora.local:8082
68,200,0.081345,resource-service@gora.local:8082
69,200,0.049571,resource-service@gora.local:8092
70,200,0.034647,resource-service@gora.local:8082
71,200,0.034827,resource-service@gora.local:8092
72,200,0.049944,resource-service@gora.local:8092
73,200,0.036157,resource-service@gora.local:8082
74,200,0.017240,resource-service@gora.local:8082
75,200,0.025959,resource-service@gora.local:8092
76,200,0.039265,resource-service@gora.local:8082
77,200,0.044339,resource-service@gora.local:8092
78,200,0.040778,resource-service@gora.local:8082
79,200,0.043095,resource-service@gora.local:8082
80,200,0.056433,resource-service@gora.local:8092
81,200,0.050981,resource-service@gora.local:8092
82,200,0.041890,resource-service@gora.local:8082
83,200,0.026256,resource-service@gora.local:8082
84,200,0.026372,resource-service@gora.local:8092
85,200,0.060629,resource-service@gora.local:8092
86,200,0.090585,resource-service@gora.local:8092
87,200,0.032576,resource-service@gora.local:8082
88,200,0.047831,resource-service@gora.local:8082
89,200,0.093823,resource-service@gora.local:8082
90,200,0.047346,resource-service@gora.local:8092
91,200,0.043780,resource-service@gora.local:8092
92,200,0.039236,resource-service@gora.local:8082
93,200,0.076289,resource-service@gora.local:8092
94,200,0.074377,resource-service@gora.local:8092
95,200,0.067910,resource-service@gora.local:8082
96,200,0.037726,resource-service@gora.local:8092
97,200,0.039825,resource-service@gora.local:8082
98,200,0.031729,resource-service@gora.local:8082
99,200,0.028962,resource-service@gora.local:8092
100,200,0.029528,resource-service@gora.local:8082
